Position_X,Position_Y,Position_Z,Unit,Category,Collection,TimePointID,TrackID,ID
76.52,293.02,19.63,um,Surface,Position,14,2000000006,539
77.07,294.35,19.43,um,Surface,Position,15,2000000006,584
76.9,295.36,19.54,um,Surface,Position,16,2000000006,629
76.34,296.58,19.62,um,Surface,Position,17,2000000006,673
76.27,297.67,19.55,um,Surface,Position,18,2000000006,720
78.22,287.75,24.43,um,Surface,Position,19,2000000006,766
78.38,287.86,25.29,um,Surface,Position,20,2000000006,815
78.59,287.82,25.44,um,Surface,Position,21,2000000006,863
78.57,288.23,25.24,um,Surface,Position,22,2000000006,913
78.87,288.91,25.68,um,Surface,Position,23,2000000006,962
78.87,289.71,25.92,um,Surface,Position,24,2000000006,1011
79.38,290.43,25.88,um,Surface,Position,25,2000000006,1065
80.04,290.94,25.66,um,Surface,Position,26,2000000006,1116
79.7,291.92,25.24,um,Surface,Position,27,2000000006,1168
79.26,292.07,25.48,um,Surface,Position,28,2000000006,1219
79.88,291.79,25.3,um,Surface,Position,29,2000000006,1273
80.79,291.42,24.33,um,Surface,Position,30,2000000006,1328
81.53,290.38,23.24,um,Surface,Position,31,2000000006,1384
82.44,290.31,23.66,um,Surface,Position,32,2000000006,1442
82.38,289.61,23.76,um,Surface,Position,33,2000000006,1500
82.67,288.02,23.77,um,Surface,Position,34,2000000006,1558
83.22,287.17,23.42,um,Surface,Position,35,2000000006,1614
82.84,285.45,24.02,um,Surface,Position,36,2000000006,1671
81.38,283.97,24.89,um,Surface,Position,37,2000000006,1725
80.4,282.54,25.59,um,Surface,Position,38,2000000006,1782
80.46,281.31,25.83,um,Surface,Position,39,2000000006,1837
80.25,280.58,25.82,um,Surface,Position,40,2000000006,1896
80.82,280.33,26.54,um,Surface,Position,41,2000000006,1953
80.97,280.27,27.15,um,Surface,Position,42,2000000006,2009
80.11,279.72,28.22,um,Surface,Position,43,2000000006,2066
80.37,278.96,28.99,um,Surface,Position,44,2000000006,2122
79.97,278.52,29.27,um,Surface,Position,45,2000000006,2178
80.08,278.85,30.27,um,Surface,Position,46,2000000006,2234
78.59,279.86,30.58,um,Surface,Position,47,2000000006,2289
78.31,281.12,31.53,um,Surface,Position,48,2000000006,2344
78.44,282.06,32.37,um,Surface,Position,49,2000000006,2400
78.45,283.11,33.37,um,Surface,Position,50,2000000006,2458
77.36,284.42,34.3,um,Surface,Position,51,2000000006,2514
76.62,285.65,33.98,um,Surface,Position,52,2000000006,2571
75.77,288.58,34.15,um,Surface,Position,53,2000000006,2627
74.17,290.29,36.65,um,Surface,Position,54,2000000006,2682
72.99,291.18,37.05,um,Surface,Position,55,2000000006,2735
70.99,291.99,38.62,um,Surface,Position,56,2000000006,2787
68.98,293.54,40.44,um,Surface,Position,57,2000000006,2841
67.58,293.87,41.53,um,Surface,Position,58,2000000006,2898
67.15,293.76,41.84,um,Surface,Position,59,2000000006,2955
66.97,293.82,41.96,um,Surface,Position,60,2000000006,3012
67.01,293.9,41.72,um,Surface,Position,61,2000000006,3069
68.16,293.71,41.49,um,Surface,Position,62,2000000006,3124
69.53,294.21,40.86,um,Surface,Position,63,2000000006,3180
71.05,294.96,39.83,um,Surface,Position,64,2000000006,3231
71.38,295.78,39.53,um,Surface,Position,65,2000000006,3282
71.82,296.84,39.15,um,Surface,Position,66,2000000006,3335
72.48,297.21,38.45,um,Surface,Position,67,2000000006,3384
73.19,297.49,38.17,um,Surface,Position,68,2000000006,3433
